//basew1;basew2;basew3;equip1;equip2;bumper;engine;armor;nsmart;mine
//basew1;basew2;basew3;equip1;equip2;bumper;engine;armor;nsmart;mine
//basew1;basew2;basew3;equip1;equip2;bumper;engine;armor;nsmart;mine

lgun;none;none;none;none;none;engine1;none;0;none
lgun;none;none;none;none;none;engine1;none;0;none
lgun;none;none;none;none;none;engine1;none;0;none

lgun;none;none;none;none;none;engine1;none;0;none
lgun2x;lgun;none;none;none;none;engine1;none;0;none
lgun2x;lgun;none;none;none;none;engine1;none;0;contact

shotgun;lgun;none;none;none;none;engine1;none;0;none
lgun2x;shotgun;none;none;none;none;engine1;none;1;contact
lgun2x;shotgun;lgun;bullets;none;none;engine1;none;2;contact

shotgun;lgun;none;laser;none;none;engine1;none;0;none
lgun2x;shotgun;none;none;none;bamper1;engine1;steel;1;contact
mgun;shotgun;plasma;bullets;none;bamper1;engine1;steel;2;contact

shotgun;lgun;firethrower;laser;none;none;engine1;none;0;none
lgun2x;shotgun;mgun;regeneration;bullets;bamper1;engine1;steel;1;emcontact
mgun2x;shotgun;plasma;bullets;repair;bamper1;engine1;steel;2;contact

shotgun;mgun;none;laser;bullets;none;engine1;none;0;contact
autoshotgun;mgun;none;regeneration;bullets;bamper1;engine2;steel;1;emcontact
rlauncher;shotgun;plasma;regeneration;repair;bamper1;engine2;steel;2;contact

shotgun;mgun;none;laser;analyzer;none;engine1;steel;1;contact
autoshotgun;mgun2x;firethrower;regeneration;bullets;bamper1;engine2;steel;2;emcontact
rlauncher;autoshotgun;plasma;regeneration;repair;bamper1;engine2;steel;3;contact

autoshotgun;lgun2x;none;regeneration;analyzer;bamper1;engine1;steel;1;contact
autoshotgun;mgun2x;none;regeneration;bullets;bamper2;engine2;steel;2;emcontact
rlauncher;autoshotgun;plasma;firerate;regeneration;bamper2;engine2;titan;3;timer

autoshotgun;lgun;firethrower;repair;regeneration;bamper1;engine1;steel;1;emcontact
autoshotgun;mgun2x;ssrlauncher;regeneration;bullets;bamper1;engine2;steel;2;contact
rlauncher;autoshotgun;gauss;firerate;regeneration;bamper2;engine2;titan;3;timer

autoshotgun;mgun;firethrower;repair;regeneration;bamper1;engine1;steel;1;contact
autoshotgun;mgun2x;ssrlauncher;regeneration;bullets;bamper1;engine3;energy;2;timer
rlauncher;autoshotgun;gauss;firerate;regeneration;bamper2;engine3;energy;3;nocontact

autoshotgun;mgun;firethrower;repair;analyzer;bamper1;engine2;titan;1;timer
autoshotgun;mgun2x;ssrlauncher;regeneration;bullets;bamper2;engine3;energy;2;emnocontact
hmgun;rlauncher;gauss;damage;regeneration;bamper2;engine3;energy;3;nocontact

autoshotgun;mgun2x;firethrower;repair;analyzer;bamper1;engine2;titan;1;timer
autoshotgun;gauss;rlauncher;regeneration;bullets;bamper2;engine3;energy;2;emnocontact
hmgun;ssrlauncher;gauss;damage;regeneration;bamper2;engine3;energy;3;nocontact

autoshotgun;mgun2x;firethrower;repair;analyzer;bamper1;engine2;titan;1;timer
autoshotgun;gauss;rlauncher;regeneration;bullets;bamper2;engine3;energy;2;emnocontact
hmgun;ssrlauncher;gauss;damage;regeneration;bamper2;engine3;energy;3;nocontact


