//code;name;price;bps;distance;grouping;power;regeneration;bullets;firerate;damagerange;description;level

lgun;lgun;0;1;-1;0;1;5;20;2;0;lgun_descr;0

lgun2x;lgun2x;900;1;-1;0;1;5;32;3;0;lgun2x_descr;1

gauss;gauss;11300;1;-1;0;15;2;12;2;0;gauss_descr;9

shotgun;shotgun;2200;10;-1;0;1.4;26;100;1;0;shotgun_descr;2

mgun;mgun;2300;1;-1;0;1.4;10;40;6;0;mgun_descr;4

mgun2x;mgun2x;3500;1;-1;0;2;15;50;7;0;mgun2x_descr;5

hmgun;hmgun;18800;1;-1;0;2.6;18;65;20;0;hmgun_descr;11

rlauncher;rlauncher;3000;1;-1;0;4;2;6;1;0;rlauncher_descr;6

ssrlauncher;ssrlauncher;7500;5;-1;0;1;2;12;2;0;ssrlauncher_descr;9

plasma;plasma;2800;1;-1;0;7;3;12;2;0;plasma_descr;4

firethrower;firethrower;2800;1;-1;0;1;60;80;80;0;firethrower_descr;5

autoshotgun;autoshotgun;4800;10;-1;0;1.6;14;220;4;0;autoshotgun_descr;6
